Description,Price Was,Price,Percent Off,Rating,Review Count,URL
"BagMate Multipurpose Telescope Bag, 39x12.3x12.3 inch – Shock-Absorbent Telescope Carrying Case with Adjustable Shoulder Strap and Extra Storage",,$86.90,0%,4.5 out of 5 stars,4.5,https://www.amazon.ca/Multipurpose-Telescope-Bag-Shock-Absorbent-Military-Grade/dp/B07MR3D8ZV/ref=sr_1_89?keywords=telescope&qid=1671541535&sr=8-89
SVBONY SV105 Telescope Camera CMOS Electronic Digital Eyepiece for Telescope 1.25 inches Lunar Planetary Astronomy Camera for Beginners,,$69.99,0%,4.1 out of 5 stars,4.1,https://www.amazon.ca/SVBONY-SV105-Telescope-Eyepiece-Astronomy/dp/B07BKSHH3H/ref=sr_1_90?keywords=telescope&qid=1671541535&sr=8-90
BEBANG Telescope for Adults Kids Beginners- 3 Rotatable Eyepieces 70mm Aperture 400mm Astronomy Refractor Telescope with Adjustable Tripod - Perfect Telescope Gift for Kids View Aurora Moon Planets…,,$139.99,0%,3.8 out of 5 stars,3.8,https://www.amazon.ca/BEBANG-Telescope-Beginners-Rotatable-Adjustable/dp/B094YB7XBN/ref=sr_1_91?keywords=telescope&qid=1671541535&sr=8-91
"Educational Insights GeoSafari Jr. My First Telescope (Pink) - STEM Toy for Kids, Telescope for Kids",,$45.49,0%,3.1 out of 5 stars,3.1,https://www.amazon.ca/Educational-Insights-GeoSafari-First-Telescope/dp/B083FKFN3B/ref=sr_1_92?keywords=telescope&qid=1671541535&sr=8-92
"Hey! Play! Telescope for Kids, 60mm Refractor for Astronomy Beginners",,$81.52,0%,3.6 out of 5 stars,3.6,https://www.amazon.ca/Hey-Play-Telescope-Refractor-Astronomy/dp/B072F21NYG/ref=sr_1_93?keywords=telescope&qid=1671541535&sr=8-93
Multipurpose Telescope Case - Fits Most Telescopes - 30x11.4X10 inch - Smart Phone Adapter Included,$131.67,$99.67,-24.3%,4.5 out of 5 stars,4.5,https://www.amazon.ca/Rhino-BagMate-Telescope-Bag-Lances/dp/B07FDHXD63/ref=sr_1_94?keywords=telescope&qid=1671541535&sr=8-94
"114EQ Telescope, 900mm Telescopes for Adults Astronomy with German Technology Equatorial, Fully- Coated Glass Optics Professional Newtonian Reflector Telescopes for Astronomy Beginners",,$399.99,0%,4.0 out of 5 stars,4.0,https://www.amazon.ca/Telescope-Telescopes-Technology-Equatorial-Professional/dp/B0B3D9S3PJ/ref=sr_1_95?keywords=telescope&qid=1671541535&sr=8-95
"SVBONY SV550 Telescope, 80mm F6 APO Triplet Refractor OTA, 180mm Dovetail Plate, 2.5 inches Micro-Reduction Rap Focuser, Telescope Adults for Deep Sky Astrophotography and Observation",,"$1,581.99",0%,4.5 out of 5 stars,4.5,https://www.amazon.ca/SVBONY-Telescope-Micro-Reduction-Astrophotography-Observation/dp/B0B24TQ291/ref=sr_1_96?keywords=telescope&qid=1671541535&sr=8-96
Gosky Updated 20-60x80 Spotting Scope with Tripod and Carrying Bag and Smartphone Adapter - BAK4 Angled Telescope - Waterproof Scope for Target Shooting Hunting Bird Watching Wildlife Scenery,$290.99,$207.99,-28.52%,4.3 out of 5 stars,4.3,https://www.amazon.ca/Updated-20-60x80-Spotting-Carrying-Smartphone/dp/B07KFTV8WM/ref=sr_1_97?keywords=telescope&qid=1671541535&sr=8-97
Buki france Ts006B - Telescope 15 Activities,$59.81,$38.99,-34.81%,4.0 out of 5 stars,4.0,https://www.amazon.ca/Buki-Ts006B-Telescope-15-Activities/dp/B072M6T18X/ref=sr_1_98?keywords=telescope&qid=1671541535&sr=8-98
Super7One Handcrafted Telescope | in Box | Functional Vintage Replica Brass Nautical Antique Telescope | Spyglass & Collectible Decor | for Kids | Bookshelf Retro Decor 15 Inches,,$54.99,0%,4.3 out of 5 stars,4.3,https://www.amazon.ca/Super7One-Handcrafted-Telescope-Functional-Nautical/dp/B07PVL5H7L/ref=sr_1_99?keywords=telescope&qid=1671541535&sr=8-99
"Telescope for Kids and Adults, VinTeam Professional Astronomical Refractor Telescope with 70mm Aperture and 300mm Focal Length, Adjustable Tripod Stand, Refraction Monoculars and Mobile Phone Holder",,$81.99,0%,3.6 out of 5 stars,3.6,https://www.amazon.ca/Professional-Astronomical-Adjustable-Refraction-Monoculars/dp/B08YN56HLK/ref=sr_1_100?keywords=telescope&qid=1671541535&sr=8-100
SVBONY SV503 Telescope 80ED F7 Telescope OTA Focal Length 560mm for Exceptional Viewing and Astrophotography,,$881.39,0%,4.7 out of 5 stars,4.7,https://www.amazon.ca/SVBONY-Telescope-Exceptional-Viewing-Astrophotography/dp/B085NTQL2C/ref=sr_1_102?keywords=telescope&qid=1671541535&sr=8-102
"Telescope for Adults Kids Beginners,60mm Aperture Portable Professional Astronomical Telescope Refractor with Finder Scope Adjustable Tripod Smartphone Adapter 3X Barlow Lens Best Telescope Gifts",$166.58,$129.98,-21.97%,3.8 out of 5 stars,3.8,https://www.amazon.ca/Telescope-Professional-Astronomical-Adjustable-Smartphone/dp/B08ZHV5KP8/ref=sr_1_104?keywords=telescope&qid=1671541535&sr=8-104
Vintage Marine Telescopes Unique Sailor Ship Instrument Maritime Gift Item,,$39.00,0%,4.3 out of 5 stars,4.3,https://www.amazon.ca/Vintage-Marine-Telescopes-Instrument-Maritime/dp/B01M2YQXCK/ref=sr_1_101?keywords=telescope&qid=1671541545&sr=8-101
Telescope Carrying Case | Telescope Bag | Telescope Case with Foam | Carrying Case Telescope | Compatible with Celestron Telescope | Telescope Bags and Cases | Telescope Cases | Telescope Carry Case,,$59.99,0%,4.4 out of 5 stars,4.4,https://www.amazon.ca/Telescope-Carrying-Compatible-Celestron-Cases/dp/B09LG5RX8T/ref=sr_1_102?keywords=telescope&qid=1671541545&sr=8-102
Gosky Titan 12X50 Monocular Telescope with Smartphone Holder - Waterproof Fog-Proof Shockproof Scope BAK-4 Prism FMC for Bird Watching Hunting Camping Traveling Wildlife Scenery,$145.99,$129.99,-10.96%,4.1 out of 5 stars,4.1,https://www.amazon.ca/Gosky-Titan-Monocular-Smartphone-Holder/dp/B06XKNDJHP/ref=sr_1_103?keywords=telescope&qid=1671541545&sr=8-103
"Nature Bound Telescope for Kids and Beginners, 16X Magnification and 15mm Lens for Indoor and Outdoor Use - Adjustable Tripod Included - for Kids Ages 6+, Green (NB538)",,$80.25,0%,4.0 out of 5 stars,4.0,https://www.amazon.ca/Nature-Bound-Telescope-Beginners-Magnification/dp/B08CWGNZP7/ref=sr_1_104?keywords=telescope&qid=1671541545&sr=8-104
Sky-Watcher EvoStar 72 APO Doublet Refractor – Compact and Portable Optical Tube for Affordable Astrophotography and Visual Astronomy (S11180),,$677.13,0%,4.5 out of 5 stars,4.5,https://www.amazon.ca/Sky-Watcher-EvoStar-Optical-Assembly-S11180/dp/B07J25Z8J9/ref=sr_1_105?keywords=telescope&qid=1671541545&sr=8-105
Celestron 94303 Accessory Kit,,$291.13,0%,4.6 out of 5 stars,4.6,https://www.amazon.ca/Celestron-94303-Accessory-Kit/dp/B00006RH5I/ref=sr_1_106?keywords=telescope&qid=1671541545&sr=8-106
"16X52 Monocular Telescope, High Power Prism Compact Monoculars for Adults Kids HD Monocular Scope for Bird Watching Camping Hiking Concert Travelling",$63.99,$39.99,-37.51%,3.9 out of 5 stars,3.9,https://www.amazon.ca/Pankoo-Monocular-Telescope-Monoculars-Travelling/dp/B08FMM86JN/ref=sr_1_107?keywords=telescope&qid=1671541545&sr=8-107
Sky-Watcher AZ-GTI with SkyMax 127 – Modular Go-to Alt-Az Tracking Mount for Time-Lapse and Panoramas – WiFi Enabled App Controlled – 127mm Maksutov Telescope,,"$1,189.51",0%,3.4 out of 5 stars,3.4,https://www.amazon.ca/Watcher-Skymax-AZ-GTI-Mount-Optical/dp/B07M8GYJD3/ref=sr_1_108?keywords=telescope&qid=1671541545&sr=8-108
"SIHEA 14X65 Monocular Telescope with Smartphone Holder & Tripod, Powerful HD Monocular Scope for Adults Kids, BAK4 & FMC, Hunting Gear for Birdwatching, Camping - Cool Gadgets Gifts for Men Dad Him",,$69.99,0%,3.9 out of 5 stars,3.9,https://www.amazon.ca/Monocular-Telescope-Objective-Definition-Smartphone/dp/B08P3MN87R/ref=sr_1_109?keywords=telescope&qid=1671541545&sr=8-109
Funwell Small Compact Lightweight 12x25 Binoculars for Bird Watching Travel Concert Opera Kids Sports Game Outdoors Camping Hiking Trip,,$22.99,0%,5.0 out of 5 stars,5.0,https://www.amazon.ca/Funwell-Lightweight-Binoculars-Watching-Outdoors/dp/B0B4W9JB8M/ref=sr_1_110?keywords=telescope&qid=1671541545&sr=8-110
Celestron 94306 PowerSeeker Accessory Kit Telescope (Black),$69.99,$49.98,-28.59%,4.5 out of 5 stars,4.5,https://www.amazon.ca/Celestron-94306-PowerSeeker-Accessory-Telescope/dp/B004OUMTT2/ref=sr_1_111?keywords=telescope&qid=1671541545&sr=8-111
"Monocular,40 * 60HD Monocular Telescope Smartphone & Tripod,IPX7 Waterproof Monocular with BAK6 Prism FMC for Birds Watching Travelling Hunting Camping Hiking-MKPEMEBR",$39.99,$29.99,-25.01%,No reviews,0,https://www.amazon.ca/Monocular-Smartphone-Waterproof-Travelling-Hiking-MKPEMEBR/dp/B0B3MXY8JX/ref=sr_1_112?keywords=telescope&qid=1671541545&sr=8-112
Buki Toys - TS007B - Telescope 30 Activities by Buki Toys France,,$109.99,0%,4.0 out of 5 stars,4.0,https://www.amazon.ca/Buki-TS007B-Telescope-activities-France/dp/B00D466PGA/ref=sr_1_114?keywords=telescope&qid=1671541545&sr=8-114
"NOCOEX 700mm/70mm AZ Astronomy Telescope for Beginner, Kids, Adults, Refracting Telescope with Finder Scope, Phone Adapter, Carrying Bag Ideal Travel Telescope for View Moon & Planet, Bird Watching",,$187.00,0%,2.8 out of 5 stars,2.8,https://www.amazon.ca/NOCOEX-Astronomy-Telescope-Beginner-Refracting/dp/B09K3Q7J9D/ref=sr_1_115?keywords=telescope&qid=1671541545&sr=8-115
"12x50 Monocular Telescope, High Power BAK4 Prism Monocular with Smartphone Holder & Tripod, Waterproof Compact Handheld Telescope for Adults Kids, Night Vision for Camping Stargazing Bird-Watching",,$42.90,0%,3.9 out of 5 stars,3.9,https://www.amazon.ca/12x50-Monocular-Telescope-Smartphone-Bird-Watching/dp/B09MVY6HFZ/ref=sr_1_116?keywords=telescope&qid=1671541545&sr=8-116
Telescope for Kids 70mm Apeture Travel Telescope 400mm AZ Mount - Good Partner to View Moon and Planet - Good Travel Telescope with Backpack for Kids and Beginners,,$156.78,0%,4.2 out of 5 stars,4.2,https://www.amazon.ca/Telescope-Aperture-Astronomical-Refractor-Beginners/dp/B07M775GYM/ref=sr_1_121?keywords=telescope&qid=1671541545&sr=8-121
Celestron 93973 SkyQ Link 2 Wi-Fi Module (Black),$177.74,$129.98,-26.87%,4.3 out of 5 stars,4.3,https://www.amazon.ca/Celestron-93973-Wi-Fi-Module-Black/dp/B00OJ5Z2NM/ref=sr_1_122?keywords=telescope&qid=1671541545&sr=8-122
"Telescope for Kids Beginners, Astronomy Monocular Telescopes 300/70mm with Phone Adapter, Camera Wire Shutter, Moon Filter and Backpack- Adjustable Tripod",,$79.99,0%,No reviews,0,https://www.amazon.ca/Telescope-Beginners-Astronomy-Telescopes-Adjustable/dp/B09JRX3S3Z/ref=sr_1_123?keywords=telescope&qid=1671541545&sr=8-123
SVBONY Red Laser Collimator for Newtonian Reflector Marca Telescope Alignment 1.25 inches 7 Bright Levels Triple Cemented Lens with 2 inches Adapter,,$45.99,0%,4.4 out of 5 stars,4.4,https://www.amazon.ca/SVBONY-Collimator-Telescope-Newtonian-Telescopes/dp/B00LX34ZH2/ref=sr_1_124?keywords=telescope&qid=1671541545&sr=8-124
"Telescope for Kids Adults Astronomy Beginners, 70mm Aperture 400mm Astronomical Refracting Starter Scope,with Tripod, Moon Filter, Carry Bag, Wire Shutter, Phone Adapter(White)",$119.99,$99.99,-16.67%,3.7 out of 5 stars,3.7,https://www.amazon.ca/Telescope-Astronomy-Beginners-Astronomical-Refracting/dp/B09GP3BSQ4/ref=sr_1_125?keywords=telescope&qid=1671541545&sr=8-125
Gosky 12x55 High Definition Monocular Telescope and Quick Smartphone Holder - 2020 Upgraded Waterproof Monocular -BAK4 Prism for Wildlife Bird Watching Hunting Camping Travelling Wildlife Secenery,$189.99,$139.99,-26.32%,4.2 out of 5 stars,4.2,https://www.amazon.ca/Gosky-Definition-Monocular-Telescope-Smartphone/dp/B07B8XTS3Z/ref=sr_1_126?keywords=telescope&qid=1671541545&sr=8-126
Celestron - 80mm Travel Scope - Portable Refractor Telescope - Fully-Coated Glass Optics - Ideal Telescope for Beginners - Bonus Astronomy Software Package - Digiscoping Smartphone Adapter,,$227.42,0%,4.1 out of 5 stars,4.1,https://www.amazon.ca/Celestron-Observe-Refracting-Telescope-22030/dp/B07J15P2N3/ref=sr_1_127?keywords=telescope&qid=1671541545&sr=8-127
Educational Insights Omega Refractor Telescope,,$198.87,0%,4.6 out of 5 stars,4.6,https://www.amazon.ca/Educational-Insights-Omega-Refractor-Telescope/dp/B0007COBFG/ref=sr_1_128?keywords=telescope&qid=1671541545&sr=8-128
"Pirate Monocular Telescope for Kids & Adults, Handheld Collapsible Brass Telescope 25x30 Zoomable Portable Pirate Spyglass for Cruise Ship Travel Watching Games Hiking Hunting and More",,$51.88,0%,4.2 out of 5 stars,4.2,https://www.amazon.ca/Monocular-Telescope-Handheld-Collapsible-Zoomable/dp/B07MDX7P6N/ref=sr_1_129?keywords=telescope&qid=1671541545&sr=8-129
"Monocular Telescope, 100X90 High Power HD with Night Vision, Telescope with Smartphone Holder and Tripod for Spotting Sights, Camping, Hiking, Travel, Hunting",,$65.99,0%,2.5 out of 5 stars,2.5,https://www.amazon.ca/Monocular-Telescope-Smartphone-Spotting-Camping/dp/B0B53JSNSM/ref=sr_1_130?keywords=telescope&qid=1671541545&sr=8-130
Astronomical Telescope Professional Adult Telescope Refractor Mirror View of The Scenery Hiking Maximum 336 Times Magnification,$220.06,$188.74,-14.23%,3.3 out of 5 stars,3.3,https://www.amazon.ca/Astronomical-Telescope-Professional-Refractor-Magnification/dp/B08F4SJ8VX/ref=sr_1_131?keywords=telescope&qid=1671541545&sr=8-131
"Telescope for Kids & Astronomy Beginners, 70mm Aperture Portable Telescopes with 3 Eyepieces, Height Adjustable Tripod & Phone Adapter Gift for Christmas",,$69.99,0%,No reviews,0,https://www.amazon.ca/Telescope-Astronomy-Beginners-Telescopes-Adjustable/dp/B0BP12QZRX/ref=sr_1_132?keywords=telescope&qid=1671541545&sr=8-132
Laupha Retro Pirate Telescope Zoomable 25x30 Pocket Monocular Portable Collapsible Waterproof Spyglass Handheld Telescope Vintage Monocular for Kids,,$43.99,0%,4.2 out of 5 stars,4.2,https://www.amazon.ca/Monocular-PROCHE-Collapsible-Waterproof-Telescope/dp/B073QT2F82/ref=sr_1_133?keywords=telescope&qid=1671541545&sr=8-133
"Thames & Kosmos My Discovery Telescope | Refracting Telescope with 12x Magnification | Compact & Portable for Land & Night Sky Observations | See The Moon, Planets, Wild Animals in Your Backyard!",,$36.32,0%,3.7 out of 5 stars,3.7,https://www.amazon.ca/Thames-Kosmos-Refracting-Magnification-Observations/dp/B0858NX7W9/ref=sr_1_134?keywords=telescope&qid=1671541545&sr=8-134
"NOCOEX Upgrade Telescope for Adults Astronomy, 70mm Aperture 700mm Focal Length Refracting Telescope for Adults, Kids, Beginners, Telescope for Moon Viewing & Stargazing",$199.00,$187.00,-6.03%,3.9 out of 5 stars,3.9,https://www.amazon.ca/NOCOEX-Telescope-Refracting-Astronomical-Beginners/dp/B09BMYDYMF/ref=sr_1_135?keywords=telescope&qid=1671541545&sr=8-135
Laupha Retro Pirate Telescope Zoomable 25x30 Spyglass Portable Collapsible Handheld Telescope Vintage Monocular for Kids & Survival Gear Compass Pocket Military Compass for Camping Boating,,$49.99,0%,3.8 out of 5 stars,3.8,https://www.amazon.ca/PROCHE-Telescope-Zoomable-Collapsible-Monocular/dp/B07RJYV73F/ref=sr_1_136?keywords=telescope&qid=1671541545&sr=8-136
Vintage Brass Telescope on Wooden Tripod Desk Stand Collectible Figurines Steampunk Maritime Table Top Home Décor Office Gfits,,$67.85,0%,3.5 out of 5 stars,3.5,https://www.amazon.ca/Vintage-Telescope-Adjustable-Tripod-Collectible/dp/B08JRWKDM2/ref=sr_1_137?keywords=telescope&qid=1671541545&sr=8-137
Educational Insights Vega 360 Telescope,,$93.83,0%,3.1 out of 5 stars,3.1,https://www.amazon.ca/Educational-Insights-Vega-360-Telescope/dp/B0007COARA/ref=sr_1_138?keywords=telescope&qid=1671541545&sr=8-138
"Telescopes for Adults Astronomy | Kids Telescope with Two Eyepieces,Telescopes for Adults for Freely Match and Observe Objects of Different Distances and Sizes Fassme",,$50.91,0%,No reviews,0,https://www.amazon.ca/Telescopes-Astronomy-Telescope-Eyepieces-Different/dp/B0BM4M6PKR/ref=sr_1_140?keywords=telescope&qid=1671541545&sr=8-140
"Gosky 12x50 ED Glass Monocular- Ultra HD Multi-Coated Waterproof Monocular Telescope-BAK4 Prism for Wildlife Bird Watching Hunting Camping Travelling Wildlife Secenery, Model:Mon-1250ED",$225.12,$197.22,-12.39%,4.2 out of 5 stars,4.2,https://www.amazon.ca/Gosky-Monocular-Multi-Coated-Waterproof-Telescope-BAK4/dp/B07F8P4MFT/ref=sr_1_141?keywords=telescope&qid=1671541545&sr=8-141
"Telescope for Adults Kids and Beginners, 15X-150X Zoom HD 70mm Larger Aperture 300mm Refractor Telescopes with Phone Adapter &Moon Filter",,$85.99,0%,No reviews,0,https://www.amazon.ca/Telescope-Beginners-15X-150X-Refractor-Telescopes/dp/B0BG7NPPRR/ref=sr_1_145?keywords=telescope&qid=1671541545&sr=8-145
Celestron 2-Inch XLT Diagonal Mirror (for SCT Telescope),,$253.94,0%,4.7 out of 5 stars,4.7,https://www.amazon.ca/Celestron-2-Inch-Diagonal-Mirror-Telescope/dp/B000F8SZIG/ref=sr_1_146?keywords=telescope&qid=1671541545&sr=8-146
Celestron 94112-A Erect Image Prism for Refractor and Schmidt Cassegrain,,$65.98,0%,4.4 out of 5 stars,4.4,https://www.amazon.ca/Celestron-94112-Refractor-Schmidt-Cassegrain/dp/B0000665V4/ref=sr_1_148?keywords=telescope&qid=1671541545&sr=8-148
collectiblesBuy Maritime Royal Brass Antique Double Barrel Authentic Marine Designer Telescope with Handmade Retro Wooden Tripod ERA Solid Tripod Premium Version Exclusively Design,,$197.10,0%,3.9 out of 5 stars,3.9,https://www.amazon.ca/collectiblesBuy-Maritime-Authentic-Telescope-Exclusively/dp/B07DXZDR9X/ref=sr_1_151?keywords=telescope&qid=1671541545&sr=8-151
"W32 Digital Telescope Camera, 12x32 2inch 8GB LCD Digital Binoculars Camera, Camera Binoculars for Hunting/Bird Watching",,$139.89,0%,No reviews,0,https://www.amazon.ca/Digital-Telescope-Binoculars-Hunting-Watching/dp/B09TBK1CBR/ref=sr_1_152?keywords=telescope&qid=1671541545&sr=8-152
"Guide Scope Monocular Telescope Monocular Astronomical Telescope, 60mm Double Helical Focuser Guide Scope Finder scope Travel Telescope to View Moon and Planet For Bird Watching, Hunting, Camping, Hiking",,$146.13,0%,4.4 out of 5 stars,4.4,https://www.amazon.ca/Monocular-Astronomical-Telescope-Finderscope-Watching/dp/B07NQDYXZ3/ref=sr_1_149?keywords=telescope&qid=1671541558&sr=8-149
"Celestron - 80mm Travel Scope - Portable Refractor Telescope - Bonus Astronomy Software Package - Digiscoping Smartphone Adapter & LensPen - Optics Cleaning Tool, Black (93575)",,$204.53,0%,4.5 out of 5 stars,4.5,https://www.amazon.ca/Celestron-Refractor-Telescope-Digiscoping-Smartphone/dp/B08JLFF5HZ/ref=sr_1_150?keywords=telescope&qid=1671541558&sr=8-150
"Carson SkySeeker Newtonian Reflector Telescope with Dobsonian Mount, 15-37.5X, Blue (JC-200)",,$152.57,0%,4.4 out of 5 stars,4.4,https://www.amazon.ca/Carson-SkySeeker-Newtonian-Reflector-JC-200/dp/B00BWUP0A2/ref=sr_1_151?keywords=telescope&qid=1671541558&sr=8-151
"SVBONY SV503 Telescope, 102ED F7 Extra Low Dispersion Achromatic Refractor OTA, Micro-Reduction Rap Focuser, for Astrophotography",,"$1,050.89",0%,4.3 out of 5 stars,4.3,https://www.amazon.ca/SVBONY-Dispersion-Achromatic-Micro-Reduction-Astrophotography/dp/B08ZS66JRB/ref=sr_1_152?keywords=telescope&qid=1671541558&sr=8-152
ESSLNB Telescope for Adults 700X70mm with K4/10/20 Eyepieces 525X Telescopes for Kids and Beginners Erect-Image Refractor Telescope with Stainless Steel Tripod Phone Mount and Red Dot Finderscope,,$249.61,0%,4.1 out of 5 stars,4.1,https://www.amazon.ca/ESSLNB-Telescope-Telescopes-Erect-Image-Finderscope/dp/B089LN68VQ/ref=sr_1_153?keywords=telescope&qid=1671541558&sr=8-153
"Sky-Watcher 12"" Collapsible Dobsonian Telescope",,"$2,140.00",0%,5.0 out of 5 stars,5.0,https://www.amazon.ca/Celestron-S11740-Sky-Watcher-Dobsonian-Telescope/dp/B004Q78OK6/ref=sr_1_154?keywords=telescope&qid=1671541558&sr=8-154
SkyWatcher S11800 GoTo Collapsible Dobsonian 8-Inch (White),,"$1,975.48",0%,3.7 out of 5 stars,3.7,https://www.amazon.ca/SkyWatcher-S11800-Collapsible-Dobsonian-8-Inch/dp/B00Z4G3BHE/ref=sr_1_155?keywords=telescope&qid=1671541558&sr=8-155
"Digital Camera Binoculars Telescope Camera 2"" LCD Display 12x32 5MP Video Photo Recorder with Free 8GB Micro SD Card for Watching Bird Football Game Concert",,$159.99,0%,3.9 out of 5 stars,3.9,https://www.amazon.ca/Binoculars-Telescope-Recorder-Watching-Football/dp/B072KSWH8F/ref=sr_1_156?keywords=telescope&qid=1671541558&sr=8-156
Celestron 52322 Landscout 12-36x60 Spotting Scope (Army Green),$109.98,$90.98,-17.28%,4.3 out of 5 stars,4.3,https://www.amazon.ca/Celestron-52322-Landscout-12-36x60-Spotting/dp/B00B7LQ2EO/ref=sr_1_158?keywords=telescope&qid=1671541558&sr=8-158
"Astromania 2"" 56mm Super Ploessl Eyepiece - The Most Inexpensive Way of Getting A Sharp Image",,$120.90,0%,3.8 out of 5 stars,3.8,https://www.amazon.ca/Astromania-56mm-Super-Ploessl-Eyepiece/dp/B06XHZ4882/ref=sr_1_159?keywords=telescope&qid=1671541558&sr=8-159
TASCO 40060660 Tasco Luminova Telescopes - 800Mm X 60Mm,,$148.53,0%,4.5 out of 5 stars,4.5,https://www.amazon.ca/Tasco-Luminova-660-60mm-Telescope/dp/B0000A0AJ5/ref=sr_1_160?keywords=telescope&qid=1671541558&sr=8-160
"Starscope Monocular Telescope G3 Ultimate Bundle - 10x42 Long Range Monoculars for Adults Bundle | Hunting and Birding Monocular with Spotting Scope Tripod, Carry Pouch, Wrist Strap, and Cloth",,$89.99,0%,4.0 out of 5 stars,4.0,https://www.amazon.ca/Starscope-Monocular-Telescope-Ultimate-Bundle/dp/B0BFHW9YS7/ref=sr_1_161?keywords=telescope&qid=1671541558&sr=8-161
BagMate Multipurpose Telescope Bag – Shock-Absorbent Telescope Carrying Case with Adjustable Shoulder Strap and Extra Storage (35 inches),,$88.93,0%,4.4 out of 5 stars,4.4,https://www.amazon.ca/Multipurpose-Telescope-Shock-Absorbent-Military-Grade-34-6x10-2x10-2/dp/B07MGYPPKW/ref=sr_1_162?keywords=telescope&qid=1671541558&sr=8-162
"Zology 12x56 HD Monocular Telescope with Premium Carry Case,Phone Adapter and New Generation Tripod,Portable and Waterproof High Power Monocular for Hunting,Hiking and Bird Watching",,$101.69,0%,4.0 out of 5 stars,4.0,https://www.amazon.ca/Zology-Monocular-Telescope-Generation-Waterproof/dp/B0BCVT1RGV/ref=sr_1_163?keywords=telescope&qid=1671541558&sr=8-163
ROKR 3D Wooden Puzzles Retro Telescope Model Kits with Tripod - 3X Magnification Lightweight Portable Monocular Gifts for Adutls/Kids Aged 14+,,$49.99,0%,4.5 out of 5 stars,4.5,https://www.amazon.ca/ROKR-Wooden-Puzzles-Telescope-Tripod/dp/B095Y67W5Z/ref=sr_1_169?keywords=telescope&qid=1671541558&sr=8-169
Celestron 52238 C70 Mini Mak Spotting Scope (Black),,$214.86,0%,4.0 out of 5 stars,4.0,https://www.amazon.ca/Celestron-52238-Spotting-Scope-Black/dp/B001MUHQBI/ref=sr_1_170?keywords=telescope&qid=1671541558&sr=8-170
"SVBONY SV48P Telescope 90mm, Achromatic OTA for Adults Beginners, Focal Length 500mm, Dual Speed 2-inch Toothed Focuser, for Astrophotography with Pearl Cotton Lining",,$519.79,0%,4.5 out of 5 stars,4.5,https://www.amazon.ca/SVBONY-Telescope-Achromatic-Beginners-Astrophotography/dp/B09KXSR58C/ref=sr_1_171?keywords=telescope&qid=1671541558&sr=8-171
Celestron 94306 PowerSeeker Accessory Kit Telescope (Black) & StarPointer Finderscope,$105.94,$78.66,-25.75%,No reviews,0,https://www.amazon.ca/Celestron-PowerSeeker-Accessory-StarPointer-Finderscope/dp/B0BKXYBWFD/ref=sr_1_172?keywords=telescope&qid=1671541558&sr=8-172
"SOLOMARK Telescope, 80EQ Refractor Professional Telescope -700mm Focal Length Telescopes for Adults Astronomy, with 1.5X Barlow Lens Adapter for Photography and 13 Percent Transmission Moon Filter",$508.48,$440.53,-13.36%,4.2 out of 5 stars,4.2,https://www.amazon.ca/Telescope-80EQ-Refractor-Scope-Transmission/dp/B087G8PFFZ/ref=sr_1_174?keywords=telescope&qid=1671541558&sr=8-174
"Starscope Monocular Telescope G3 Smartphone Pro Bundle - 10x42 Long Range Monoculars for Adults Bundle | Hunting and Birding Monocular with Spotting Scope Tripod, Phone Mount, Carry Pouch, and More",,$139.99,0%,4.0 out of 5 stars,4.0,https://www.amazon.ca/Starscope-Monocular-Telescope-Smartphone-Bundle/dp/B0BFJ8JLDL/ref=sr_1_175?keywords=telescope&qid=1671541558&sr=8-175
"Telescope Laser Collimator 1.25inch, Bysameyee Calibrator with 2’’ Adapter for Newtonian Reflector Telescope Collimation (Laser Collimator)",$47.99,$39.99,-16.67%,4.3 out of 5 stars,4.3,https://www.amazon.ca/Telescope-Collimator-Bysameyee-Calibrator-Collimation/dp/B07J5WBG4K/ref=sr_1_176?keywords=telescope&qid=1671541558&sr=8-176
Celestron 93325 40mm Omni Eyepiece (Silver/Black),,$66.00,0%,4.6 out of 5 stars,4.6,https://www.amazon.ca/Celestron-93325-Eyepiece-Silver-Black/dp/B00009R7UW/ref=sr_1_177?keywords=telescope&qid=1671541558&sr=8-177
"K&F Concept 12X42 Monocular Telescope with Phone Holder,HD Monoculars for Adults with BAK4 Prism & FMC Lens,Monocular Scope with Dual Focus Suitable for Bird Watching Hunting Wildlife Hiking Traveling",,$65.99,0%,4.4 out of 5 stars,4.4,https://www.amazon.ca/Concept-Monocular-Telescope-Monoculars-Traveling/dp/B0BFVLXVBP/ref=sr_1_178?keywords=telescope&qid=1671541558&sr=8-178
"Maksutov-Cassegrain Telescope, Mak70 Telescopes for Adults Kids 1000mm Focal Length 70mm Objective Lens, Beginners Astronomy Telescope with Slow Motion Gimbal Tripod",,$449.41,0%,4.3 out of 5 stars,4.3,https://www.amazon.ca/Maksutov-Cassegrain-Telescope-Telescopes-Objective-Beginners/dp/B0B24QGDYS/ref=sr_1_180?keywords=telescope&qid=1671541558&sr=8-180
